divipola5,anio,hurto_personas_total,hurto_vehiculos_total,estupefacientes_operativos,estupe_basuco_cantidad,estupe_marihuana_cantidad,gasto_planeado_total,gasto_vigilancia_armada,gasto_ejecutado_total,num_procesos,num_adjudicados,tasa_competencia_promedio,tasa_adjudicacion,share_vigilancia,tuvo_secop,poblacion,hurto_personas_per_capita,hurto_vehiculos_per_capita,estupefacientes_per_capita,gasto_per_capita,gasto_ejecutado_per_capita,gasto_vigilancia_per_capita
41668,2020,34,18.0,15.0,132.5,1490.3,0.0,0.0,0.0,0.0,0.0,,,,0,34223.0,9.934839143266226,5.259620722905648,4.3830172690880405,0.0,0.0,0.0
41668,2021,37,36.0,19.0,132.0,2232.2,0.0,0.0,0.0,0.0,0.0,,,,0,34700.0,10.662824207492797,10.374639769452449,5.47550432276657,0.0,0.0,0.0
41668,2022,54,33.0,12.0,2.6,2609.1,0.0,0.0,0.0,0.0,0.0,,,,0,35116.0,15.377605649846224,9.397425674906026,3.417245699965828,0.0,0.0,0.0
41668,2023,71,71.0,17.0,8.6,1067.9,156600000.0,156600000.0,0.0,2.0,0.0,,0.0,1.0,1,35550.0,19.971870604781998,19.971870604781998,4.781997187060478,4405.06329113924,0.0,4405.06329113924
41668,2024,37,53.0,8.0,50.2,461.0,354232605.0,351432605.0,2800000.0,8.0,1.0,,0.125,0.9920955892809472,1,35994.0,10.279491026282159,14.724676334944714,2.2225926543312773,9841.434822470412,77.79074290159471,9763.644079568818
41668,2025,43,94.0,7.0,800.5,976.8,383637852.0,383637852.0,0.0,4.0,0.0,,0.0,1.0,1,36382.0,11.81903138914848,25.83695233906877,1.9240283656753339,10544.71584849651,0.0,10544.71584849651
41676,2003,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,9998.0,4.000800160032006,0.0,0.0,0.0,0.0,0.0
41676,2004,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,10101.0,1.9800019800019801,0.0,0.0,0.0,0.0,0.0
41676,2005,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,10228.0,4.888541259288228,0.0,0.0,0.0,0.0,0.0
41676,2006,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,10348.0,17.394665635871664,0.0,0.0,0.0,0.0,0.0
41676,2007,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,10470.0,4.775549188156638,0.0,0.0,0.0,0.0,0.0
41676,2009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,10698.0,0.9347541596560104,0.0,0.0,0.0,0.0,0.0
41676,2010,4,0.0,3.0,0.0,10738.0,0.0,0.0,0.0,0.0,0.0,,,,0,10806.0,3.701647233018693,0.0,2.77623542476402,0.0,0.0,0.0
41676,2011,3,0.0,11.0,6.1,2299.5,0.0,0.0,0.0,0.0,0.0,,,,0,10918.0,2.747755999267265,0.0,10.07510533064664,0.0,0.0,0.0
41676,2012,2,1.0,12.0,16.0,1249.51,0.0,0.0,0.0,0.0,0.0,,,,0,11030.0,1.8132366273798732,0.9066183136899366,10.879419764279238,0.0,0.0,0.0
41676,2013,4,3.0,3.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,,,,0,11129.0,3.5942133165603374,2.695659987420253,2.695659987420253,0.0,0.0,0.0
41676,2014,3,3.0,4.0,0.0,151.27,0.0,0.0,0.0,0.0,0.0,,,,0,11246.0,2.6676151520540636,2.6676151520540636,3.5568202027387517,0.0,0.0,0.0
