divipola5,anio,hurto_personas_total,hurto_vehiculos_total,hurto_residencias_total,hurto_comercio_total,capturas_total,homicidios_total,estupefacientes_operativos,estupe_basuco_cantidad,estupe_marihuana_cantidad,hurto_total,gasto_planeado_total,gasto_vigilancia_armada,gasto_ejecutado_total,num_procesos,num_adjudicados,tasa_competencia_promedio,tasa_adjudicacion,share_vigilancia,tuvo_secop,poblacion,hurto_personas_per_capita,hurto_vehiculos_per_capita,hurto_residencias_per_capita,hurto_comercio_per_capita,hurto_total_per_capita,capturas_per_capita,homicidios_per_capita,estupefacientes_per_capita,gasto_per_capita,gasto_ejecutado_per_capita,gasto_vigilancia_per_capita
68572,2020,7,0.0,13.0,3.0,23.0,0.0,6.0,10.0,272.0,23.0,0.0,0.0,0.0,0.0,0.0,,,,0,15095.0,4.637297118251077,0.0,8.612123219609142,1.9874130506790328,15.236833388539253,15.236833388539253,0.0,3.9748261013580657,0.0,0.0,0.0
68572,2021,15,1.0,17.0,7.0,21.0,0.0,7.0,312.0,9325.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,0,15162.0,9.893153937475267,0.6595435958316844,11.212241129138636,4.616805170821791,26.38174383326738,13.850415512465373,0.0,4.616805170821791,0.0,0.0,0.0
68572,2022,9,0.0,23.0,6.0,45.0,2.0,14.0,0.0,5084.4,38.0,0.0,0.0,0.0,0.0,0.0,,,,0,15338.0,5.867779371495631,0.0,14.995436171599948,3.9118529143304213,24.775068457426002,29.33889685747816,1.3039509714434736,9.127656800104315,0.0,0.0,0.0
68572,2023,18,1.0,16.0,5.0,50.0,0.0,21.0,45.0,1024.49,40.0,0.0,0.0,0.0,0.0,0.0,,,,0,15450.0,11.650485436893204,0.6472491909385113,10.35598705501618,3.236245954692557,25.889967637540455,32.36245954692557,0.0,13.592233009708737,0.0,0.0,0.0
68572,2024,19,0.0,13.0,2.0,55.0,0.0,19.0,51.6,9988.3,34.0,0.0,0.0,0.0,0.0,0.0,,,,0,15576.0,12.198253723677453,0.0,8.346173600410888,1.2840267077555214,21.82845403184386,35.31073446327684,0.0,12.198253723677453,0.0,0.0,0.0
68572,2025,12,3.0,15.0,2.0,49.0,2.0,19.0,100.93,58611.34,32.0,0.0,0.0,0.0,0.0,0.0,,,,0,15716.0,7.635530669381522,1.9088826673453805,9.544413336726903,1.2725884448969205,20.361415118350727,31.178416899974547,1.2725884448969205,12.089590226520743,0.0,0.0,0.0
68573,2003,1,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,0,6227.0,1.6059097478721696,1.6059097478721696,0.0,1.6059097478721696,4.817729243616508,0.0,9.635458487233016,0.0,0.0,0.0,0.0
68573,2004,1,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,0,6387.0,1.565680288085173,1.565680288085173,0.0,1.565680288085173,4.697040864255519,0.0,7.828401440425865,0.0,0.0,0.0,0.0
68573,2005,2,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,0,6514.0,3.0703101013202336,0.0,1.5351550506601168,0.0,4.60546515198035,0.0,9.2109303039607,0.0,0.0,0.0,0.0
68573,2010,4,0.0,4.0,1.0,8.0,1.0,21.0,1.0,399.3,9.0,0.0,0.0,0.0,0.0,0.0,,,,0,7007.0,5.708577137148565,0.0,5.708577137148565,1.4271442842871414,12.844298558584272,11.41715427429713,1.4271442842871414,29.97002997002997,0.0,0.0,0.0
68573,2011,1,0.0,0.0,0.0,12.0,1.0,8.0,200.0,1512.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,7108.0,1.4068655036578503,0.0,0.0,0.0,1.4068655036578503,16.882386043894204,1.4068655036578503,11.254924029262803,0.0,0.0,0.0
68573,2012,3,1.0,5.0,1.0,34.0,2.0,19.0,0.0,2793.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,0,7205.0,4.163775156141568,1.3879250520471895,6.939625260235947,1.3879250520471895,13.879250520471894,47.18945176960444,2.775850104094379,26.3705759888966,0.0,0.0,0.0
68573,2013,1,0.0,0.0,0.0,22.0,1.0,65.0,12018.0,1979764.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,7317.0,1.3666803334700013,0.0,0.0,0.0,1.3666803334700013,30.06696733634003,1.3666803334700013,88.83422167555008,0.0,0.0,0.0
68573,2015,2,0.0,0.0,0.0,13.0,0.0,21.0,829.0,15041.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0,7548.0,2.6497085320614735,0.0,0.0,0.0,2.6497085320614735,17.223105458399576,0.0,27.821939586645467,0.0,0.0,0.0
68573,2016,2,1.0,0.0,1.0,7.0,1.0,13.0,170.0,4300.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,0,7655.0,2.612671456564337,1.3063357282821686,0.0,1.3063357282821686,5.225342913128674,9.14435009797518,1.3063357282821686,16.98236446766819,0.0,0.0,0.0
68573,2017,7,0.0,10.0,6.0,9.0,0.0,23.0,0.0,2562.0,23.0,0.0,0.0,0.0,0.0,0.0,,,,0,7768.0,9.011328527291452,0.0,12.873326467559219,7.72399588053553,29.6086508753862,11.585993820803296,0.0,29.6086508753862,0.0,0.0,0.0
68573,2018,7,2.0,12.0,18.0,29.0,4.0,22.0,0.0,5049.0,39.0,0.0,0.0,0.0,0.0,0.0,,,,0,7891.0,8.870865543023697,2.5345330122924854,15.207198073754912,22.810797110632365,49.42339373970346,36.75072867824103,5.069066024584971,27.879863135217335,0.0,0.0,0.0
68573,2019,3,3.0,9.0,7.0,20.0,0.0,19.0,1.0,4846.0,22.0,0.0,0.0,0.0,0.0,0.0,,,,0,8011.0,3.7448508301086005,3.7448508301086005,11.234552490325802,8.737985270253402,27.462239420796404,24.965672200724004,0.0,23.717388590687804,0.0,0.0,0.0
68573,2020,6,0.0,4.0,5.0,10.0,0.0,10.0,3.0,2984.0,15.0,0.0,0.0,0.0,0.0,0.0,,,,0,7771.0,7.721014026508815,0.0,5.14734268433921,6.434178355424012,19.30253506627204,12.868356710848024,0.0,12.868356710848024,0.0,0.0,0.0
68573,2021,9,4.0,8.0,6.0,22.0,0.0,9.0,0.0,21365.0,27.0,0.0,0.0,0.0,0.0,0.0,,,,0,7779.0,11.569610489780178,5.142049106568968,10.284098213137936,7.7130736598534515,34.70883146934053,28.28127008612932,0.0,11.569610489780178,0.0,0.0,0.0
68573,2022,12,1.0,2.0,7.0,24.0,1.0,14.0,0.0,25522.0,22.0,0.0,0.0,0.0,0.0,0.0,,,,0,7845.0,15.296367112810707,1.2746972594008923,2.5493945188017846,8.922880815806247,28.043339706819634,30.592734225621413,1.2746972594008923,17.845761631612493,0.0,0.0,0.0
68573,2023,10,4.0,5.0,7.0,28.0,0.0,13.0,727.0,29798.0,26.0,0.0,0.0,0.0,0.0,0.0,,,,0,7914.0,12.635835228708618,5.0543340914834465,6.317917614354309,8.845084660096031,32.853171594642404,35.380338640384124,0.0,16.426585797321202,0.0,0.0,0.0
68573,2024,7,3.0,9.0,6.0,39.0,0.0,9.0,359.0,18312.0,25.0,0.0,0.0,0.0,0.0,0.0,,,,0,7971.0,8.781834148789361,3.763643206624012,11.290929619872037,7.527286413248024,31.363693388533434,48.92736168611215,0.0,11.290929619872037,0.0,0.0,0.0
68573,2025,17,3.0,9.0,12.0,21.0,2.0,14.0,15.0,1672.0,41.0,0.0,0.0,0.0,0.0,0.0,,,,0,8003.0,21.242034237161064,3.7485942771460703,11.245782831438211,14.994377108584281,51.23078845432963,26.24015994002249,2.499062851430714,17.493439960014992,0.0,0.0,0.0
68575,2004,4,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,0,31505.0,1.2696397397238535,0.31740993493096337,0.0,0.31740993493096337,1.90445960958578,0.0,3.491509284240597,0.0,0.0,0.0,0.0
68575,2005,8,4.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,0,31503.0,2.5394406881884266,1.2697203440942133,0.6348601720471067,0.6348601720471067,5.078881376376853,0.0,2.5394406881884266,0.0,0.0,0.0,0.0
68575,2006,7,3.0,4.0,10.0,0.0,9.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,0,31511.0,2.221446479007331,0.9520484910031418,1.2693979880041888,3.1734949700104726,7.6163879280251345,0.0,2.856145473009425,0.0,0.0,0.0,0.0
68575,2007,15,4.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,,,,0,31506.0,4.760997905160922,1.269599441376246,3.1739986034406145,2.539198882752492,11.743794832730273,0.0,0.634799720688123,0.0,0.0,0.0,0.0
